NO.;Time;Interval;Indoor Temperature(oC);Indoor Humidity(%);Outdoor Temperature(oC);Outdoor Humidity(%);Relative Pressure(hpa);Absolute Pressure(hpa);Wind Speed(m/s);Gust(m/s);Wind Direction;DewPoint(oC);WindChill(oC);Hour Rainfall(mm);24 Hour Rainfall(mm);Week Rainfall(mm);Month Rainfall(mm);Total Rainfall(mm)
1; 22/11/2018 23:17:47;5; 22.7;72; 20.3;87; 1009.6; 905.6; 4.1; 5.8; SE; 18.1; 17.7; 0.00; 0.00; 0.00; 0.00; 0.00
2; 22/11/2018 23:22:47;5; 22.6;73; 20.3;87; 1009.6; 905.6; 3.1; 4.1; SE; 18.1; 18.5; 0.00; 0.00; 0.00; 0.00; 0.00
3; 22/11/2018 23:27:47;5; 22.5;73; 20.3;88; 1009.6; 905.6; 2.7; 5.1; E; 18.3; 18.9; 0.00; 0.00; 0.00; 0.00; 0.00
4; 22/11/2018 23:32:47;5; 22.4;73; 20.3;88; 1009.7; 905.7; 1.4; 2.4; E; 18.3; 20.3; 0.00; 0.00; 0.00; 0.00; 0.00
5; 22/11/2018 23:37:47;5; 22.5;73; 20.3;88; 1009.8; 905.8; 2.4; 3.7; N; 18.3; 19.2; 0.00; 0.00; 0.00; 0.00; 0.00
6; 22/11/2018 23:42:47;5; 22.5;72; 20.2;87; 1009.7; 905.7; 2.4; 3.4; ENE; 18.0; 19.1; 0.00; 0.00; 0.00; 0.00; 0.00
7; 22/11/2018 23:47:47;5; 22.4;73; 20.1;88; 1009.8; 905.8; 3.4; 4.4; NE; 18.1; 18.0; 0.00; 0.00; 0.00; 0.00; 0.00
8; 22/11/2018 23:52:47;5; 22.4;73; 20.1;88; 1009.8; 905.8; 4.1; 5.4; E; 18.1; 17.4; 0.00; 0.00; 0.00; 0.00; 0.00
9; 22/11/2018 23:57:47;5; 22.3;73; 20.1;89; 1009.7; 905.7; 3.1; 4.8; SE; 18.3; 18.2; 0.00; 0.00; 0.00; 0.00; 0.00
10; 23/11/2018 00:02:47;5; 22.2;74; 20.0;89; 1009.6; 905.6; 2.4; 3.1; E; 18.2; 18.9; 0.00; 0.00; 0.00; 0.00; 0.00
11; 23/11/2018 00:07:47;5; 22.2;74; 19.9;90; 1009.4; 905.4; 2.4; 4.1; E; 18.2; 18.8; 0.00; 0.00; 0.00; 0.00; 0.00
12; 23/11/2018 00:12:47;5; 22.2;74; 19.9;90; 1009.3; 905.3; 2.0; 2.7; ENE; 18.2; 19.3; 0.00; 0.00; 0.00; 0.00; 0.00
13; 23/11/2018 00:17:47;5; 22.2;74; 19.9;90; 1009.4; 905.4; 3.4; 5.1; SE; 18.2; 17.7; 0.00; 0.00; 0.00; 0.00; 0.00
14; 23/11/2018 00:22:47;5; 22.2;74; 19.9;91; 1009.5; 905.5; 3.4; 4.1; NE; 18.4; 17.7; 0.00; 0.00; 0.00; 0.00; 0.00
15; 23/11/2018 00:27:47;5; 22.2;74; 19.8;91; 1009.3; 905.3; 1.7; 2.7; NE; 18.3; 19.8; 0.00; 0.00; 0.00; 0.00; 0.00
16; 23/11/2018 00:32:47;5; 22.2;74; 19.8;91; 1009.1; 905.1; 2.0; 2.7; E; 18.3; 19.2; 0.00; 0.00; 0.00; 0.00; 0.00
