Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.448688
Longitude: -49.230602
Altitude: 922.91
Situacao: Operante
Data Inicial: 2019-12-01
Data Final: 2020-08-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL. HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR. AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(W/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO. HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR. HORARIA(%);VENTO. DIRECAO HORARIA (gr)(° (gr));VENTO. RAJADA MAXIMA(m/s);VENTO. VELOCIDADE HORARIA(m/s);
2019-12-01;0000;0;909.6;null;909.6;908.4;-3.54;23;20.6;12.8;21.9;20.4;13.2;12;12.7;62;54;61;127;1.8;.2;
2019-12-01;0100;0;909.8;1013.52153;909.8;909.4;-3.54;22;19.7;12.8;21.2;19.7;12.8;12;12.6;64;57;64;347;3.5;.9;
2019-12-01;0200;0;909.6;1013.336098;909.9;909.5;-3.54;21;19.6;13.1;19.8;19.1;13.2;12.4;12.6;66;64;66;23;3.5;0;
2019-12-01;0300;0;909.4;1013.113289;910.1;909.4;-3.54;20;19.6;11.6;19.8;18.5;13.2;11.6;12.6;68;60;60;355;2.4;.7;
2019-12-01;0400;0;908.9;1012.893547;909.4;908.9;-3.54;20;18.7;11.9;19.7;18.6;12;11.5;12.6;65;59;65;121;1.6;0;
2019-12-01;0500;0;907.9;1011.854296;908.9;907.9;-3.54;19;18.5;13.1;19;18.4;13.2;12;12.6;71;65;71;54;1;0;
2019-12-01;0600;0;907.9;1011.8167;907.9;907.5;-3.532;19;18.6;12.4;18.7;18.3;13.1;12.4;12.6;71;67;67;71;1.9;0;
2019-12-01;0700;0;908.3;1012.715645;908.4;907.9;-3.54;19;17.4;12.8;18.6;17.4;12.9;12.1;12.6;75;67;75;73;1.4;.2;
2019-12-01;0800;0;908.6;1012.936435;908.8;908.3;53.513;18;17.7;12.7;17.7;16.4;13.2;12.5;12.6;79;73;73;69;1.3;0;
2019-12-01;0900;0;909.5;1012.704015;909.5;908.6;601.686;19;21;13.3;21;17.6;13.6;12.2;12.8;73;61;61;273;1.5;.1;
